Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Jan 5, 2018",Communications Interview,"Anonymous Employee in New York, NY",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took a week. I interviewed at Ford Motor Company (New York, NY) in December 2017.","The interview was a phone interview. My candidacy was solely judged on my phone interview. The phone interview also lasted about an hour. Questions ranged from hypothetical scenarios, as well as reasons for wanting to join Ford Motors.",What do you do when your audience does seem engaged or interested when you are doing a presentation? Â  Answer Question
"Jan 1, 2018",Product Development Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. I interviewed at Ford Motor Company.,"I applied through a mutual contact from my network. They forwarded me to a hiring team. After some emails, I was given a time to interview with two Ford employees over the phone. I was asked behavioral questions, and about my past experiences and projects. Afterwards, I was given an offer.
I would recommend being prepared to talk about past engineering projects and experiences, and how they shaped you. They may ask you to explain the project and/or what it was like to work on that",Some basic questions on ethics in the workplace Â  1 Answer
"Dec 31, 2017",Electrical Engineer Interview,"Anonymous Employee in Provo, UT",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 5 weeks. I interviewed at Ford Motor Company (Provo, UT) in October 2016.",Very Structured corporate interview questions. Showing ability to be a team player and get quality results. After the interview they were very timely in getting back with me and offering a position.,What do you do if you find one of your team members has cut corners to make the deadline Â  Answer Question
"Dec 30, 2017",Supplier Technical Assistance Interview,"Anonymous Employee in Chicago, IL",Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 4+ weeks. I interviewed at Ford Motor Company (Chicago, IL) in November 2016.",Applied online as a manufacturing intern and had to complete a skills assessment. Went to a career fair and told them I applied to a position online and the recruiters gave me an onsite interview. After the interview I waited about a week and received a notice to apply to the Supplier Technical Assistance Intern position. A week later I was given the offer.,What is your greatest weakness? Â  1 Answer
"Dec 20, 2017",FCG- Engineering Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 6 weeks. I interviewed at Ford Motor Company (Dearborn, MI) in December 2017.","I was contacted by an engineer going through the resumes on the SHPE website for SHPE 2017 in Kansas City. I was invited for the hospitality suite and set up for an interview in their booth. This interview was with two engineers, focused on behavioral and ethical questions. About a month later, I was set up for an onsite interview at the Ford Talent Center in Dearborn, MI. The onsite interview was a panel interview with 3 people and was behavioral in nature. Total of 9 questions were asked and focused on past experiences about projects.",Describe a time you had to deal with a customer that was unhappy? Â  Answer Question
"Dec 18, 2017",Research Engineer Interview,Anonymous Employee,Accepted Offer,Neutral Experience,Easy Interview,I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company in October 2015.,"Web Assessment on basic math skills followed by a phone screen to discuss the position, Then a 2hr video interview. The video interview was mostly asking questions about technical projects and assessing behavioral situations.",Mostly behavioral questions with some questions about technical projects Â  Answer Question
"Dec 15, 2017",Analyst Interview,Anonymous Employee,Accepted Offer,Positive Experience,Difficult Interview,I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company.,Interview process took a few weeks. Had a in person interview with 2 individuals. Questions were based on experience. Interview lasted around an hour. Offer was made one week later,Past experience Â  1 Answer
"Dec 15, 2017",Ford College Graduate Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Ford Motor Company (Dearborn, MI) in January 2014.","Phone interview followed by an on-site group interview then on-site personal interview with two supervisors from the hiring department. The interview day was only half a day, and HR was incredibly helpful.",Name a time you failed Â  Answer Question
"Dec 11, 2017",Engineering Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 3 weeks. I interviewed at Ford Motor Company in December 2016.,"Pretty standard Non-technical interview. Entirely over the phone, Ford asked many STAR- type questions. Since my interview was for an internship, it was phone only with no on site. Know some interesting things about your life and you'll be fine.",What was a challenge you had working as a team? Â  Answer Question
"Dec 9, 2017",Systems Engineer Interview,"Anonymous Employee in Chicago, IL",Accepted Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 6 weeks. I interviewed at Ford Motor Company (Chicago, IL) in December 2017.",I was offered the position as a contractor employee. The contract period is for 12 months but can continue if need be or depending on your performance. The process of talking with the recruiter to being hired was about 6 weeks. The interview was with two people the Director of IT and someone from the corporate office in Detroit Mich. It was a conference call like interview.,The interview was a bunch of behavior questions asking what would you do if/when etc. There wasn't much information technology questions which surprised me. I think more so than anything they want to make sure you make the right decisions concerning the company. Â  1 Answer
"Dec 6, 2017",CAE Engineer Interview,"Anonymous Employee in Detroit, MI",Accepted Offer,Positive Experience,Easy Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Ford Motor Company (Detroit, MI) in February 2013.","very easy since they needed someone very soon, so the recruiter contacted me and had a phone screening set up and I gave the interview over the phone to my former boss at that company and he was very excited to have me back... offer was good so i took it. Overall experience of the interview was good","Interviewer knew me from before as I worked there and asked generic questions such as are you willing to start from this date.... and when I heard about this opportunity you are considering , he said okay I will take him... Â  Answer Question"
"Dec 6, 2017",Product Development Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 2+ months. I interviewed at Ford Motor Company (Dearborn, MI) in August 2017.","One on-campus interview, behavioral. One on-site interview, mix of technical automotive questions and behavioral. Technical questions mainly concerned your familiarity with engines and powertrains, as well as some manufacturing terminology.",Describe a time you worked in a team and something went wrong. Â  Answer Question
"Dec 6, 2017",Product Development Engineer Interview,Anonymous Employee in Cologne (Germany),Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Ford Motor Company (Cologne (Germany)) in November 2017.,"Telco organised by a consultant working on behalf of FORD along with a FORD engineer.
Personal introduction at the beginning followed up with HR question and at the end with technical questions related to the job offer. The telco lasted for around 45-50 min",One innovative idea you introduced during you current work? Â  Answer Question
